lead_id,community_id,lead_source,created_date,tour_date,deposit_date,move_in_date,status,lost_reason
HL607543,C001,Print,2025-03-05,2025-03-22,,,Lost,Chose Competitor
HL702580,C001,Web Inquiry,2025-03-13,,2025-04-16,2025-04-24,Won,
HL292869,C001,Google Ads,2025-03-12,2025-03-18,2025-03-26,2025-05-04,Won,
HL345617,C001,Walk-in,2025-03-13,,,,Open,
HL405243,C001,Facebook,2025-03-22,,,,Open,
HL199844,C002,Web Inquiry,2025-03-03,2025-03-19,2025-03-14,2025-05-01,Won,
HL567181,C002,Event,2025-03-11,2025-03-16,,,Lost,Affordability
HL318962,C002,Referral,2025-03-16,2025-03-27,,,Lost,Stayed Home
HL914571,C002,Event,2025-03-03,,,,Open,
HL821082,C002,Web Inquiry,2025-03-01,,,,Open,
HL965369,C002,Google Ads,2025-03-04,2025-03-12,,,Lost,Chose Competitor
HL703621,C002,Google Ads,2025-03-05,,,,Lost,Affordability
HL841078,C003,Print,2025-03-06,2025-03-18,,,Lost,Affordability
HL903463,C003,Google Ads,2025-03-17,2025-03-30,,,Lost,Other
HL579838,C003,Event,2025-03-09,,,,Open,
HL159439,C003,Walk-in,2025-03-07,,,,Open,
HL480513,C003,Facebook,2025-03-12,2025-03-29,2025-04-14,2025-05-03,Won,
HL207813,C003,Google Ads,2025-03-05,2025-03-21,,,Lost,Other
HL652485,C003,Google Ads,2025-03-04,,,,Open,
HL783150,C003,Facebook,2025-03-17,2025-03-25,,,Lost,Other
HL204254,C003,Walk-in,2025-03-18,2025-04-05,,,Lost,Affordability
HL567940,C003,Google Ads,2025-03-03,2025-03-16,2025-03-18,2025-04-22,Won,
HL752554,C004,Facebook,2025-03-28,,,,Lost,Stayed Home
HL209922,C004,Referral,2025-03-13,,,,Open,
HL811738,C004,Walk-in,2025-03-22,2025-03-28,,,Lost,Health Decline
HL342473,C004,Referral,2025-03-26,,,,Open,
HL858286,C004,Facebook,2025-03-08,,,,Lost,Chose Competitor
HL590009,C004,Facebook,2025-03-05,,,,Open,
HL940001,C004,Google Ads,2025-03-18,,,,Lost,Affordability
HL973841,C004,Web Inquiry,2025-03-04,2025-03-11,2025-04-08,2025-04-13,Won,
HL945909,C004,Web Inquiry,2025-03-05,2025-03-12,,,Lost,Chose Competitor
HL792087,C005,Web Inquiry,2025-03-05,2025-03-26,,,Lost,Chose Competitor
HL147934,C005,Print,2025-03-18,,,,Open,
HL887427,C005,Event,2025-03-14,2025-03-20,,,Lost,Affordability
HL290433,C005,Facebook,2025-03-04,2025-03-23,,,Lost,Affordability
HL793725,C005,Referral,2025-03-13,2025-03-17,,,Lost,Stayed Home
HL495256,C006,Google Ads,2025-03-26,2025-03-30,,,Lost,Chose Competitor
HL511920,C006,Facebook,2025-03-26,,,,Open,
HL981115,C006,Facebook,2025-03-20,,,,Open,
HL125979,C006,Print,2025-03-27,2025-04-14,,,Lost,Affordability
HL311744,C006,Event,2025-03-13,2025-03-20,,,Lost,Affordability
HL945596,C006,Referral,2025-03-20,,,,Open,
HL322181,C007,Print,2025-03-27,2025-04-01,,,Lost,Chose Competitor
HL990147,C007,Event,2025-03-05,2025-03-14,,,Lost,Chose Competitor
HL766369,C007,Walk-in,2025-03-27,,,,Lost,Affordability
HL857745,C007,Referral,2025-03-15,2025-04-03,,,Lost,Affordability
HL722112,C007,Walk-in,2025-03-26,,,,Open,
HL216027,C007,Print,2025-03-01,,,,Open,
