lead_id,community_id,lead_source,created_date,tour_date,deposit_date,move_in_date,status,lost_reason
HL833287,C001,Print,2025-01-06,,,,Lost,Affordability
HL812447,C001,Print,2025-01-28,2025-02-11,,,Lost,Health Decline
HL365234,C001,Web Inquiry,2025-01-15,,,,Open,
HL798158,C001,Google Ads,2025-01-23,,2025-02-06,2025-03-16,Won,
HL618499,C001,Print,2025-01-12,2025-01-26,,,Lost,Chose Competitor
HL862011,C001,Event,2025-01-12,2025-01-15,,,Lost,Stayed Home
HL914687,C001,Facebook,2025-01-24,,,,Lost,Health Decline
HL706575,C001,Google Ads,2025-01-10,,,,Lost,Other
HL316257,C001,Print,2025-01-02,,,,Open,
HL932332,C002,Facebook,2025-01-15,,,,Open,
HL140835,C002,Referral,2025-01-13,,,,Open,
HL747864,C002,Print,2025-01-28,2025-02-05,,,Lost,Other
HL783909,C002,Web Inquiry,2025-01-24,2025-01-27,,,Lost,Chose Competitor
HL328628,C002,Web Inquiry,2025-01-21,,,,Open,
HL293461,C002,Referral,2025-01-27,2025-02-01,2025-02-16,2025-02-19,Won,
HL966278,C002,Web Inquiry,2025-01-18,,,,Lost,Affordability
HL811327,C002,Google Ads,2025-01-04,2025-01-14,2025-02-04,2025-02-12,Won,
HL618934,C002,Web Inquiry,2025-01-17,2025-02-07,,,Lost,Other
HL124989,C002,Walk-in,2025-01-04,,2025-01-22,2025-02-08,Won,
HL967748,C002,Walk-in,2025-01-13,,,,Open,
HL275190,C002,Google Ads,2025-01-22,,,,Open,
HL479290,C003,Web Inquiry,2025-01-23,2025-02-13,,,Lost,Other
HL514897,C003,Print,2025-01-05,,,,Lost,Health Decline
HL699463,C003,Event,2025-01-16,,,,Lost,Chose Competitor
HL747614,C003,Print,2025-01-12,2025-01-18,,,Lost,Affordability
HL910755,C003,Google Ads,2025-01-13,2025-01-24,2025-01-27,2025-02-19,Won,
HL683420,C003,Walk-in,2025-01-10,2025-01-23,2025-01-28,2025-02-18,Won,
HL281199,C003,Web Inquiry,2025-01-08,,,,Open,
HL956149,C003,Web Inquiry,2025-01-01,2025-01-19,,,Lost,Chose Competitor
HL103681,C003,Event,2025-01-16,,,,Open,
HL688567,C003,Facebook,2025-01-13,2025-01-23,,,Lost,Other
HL870802,C003,Referral,2025-01-28,,,,Open,
HL701630,C003,Event,2025-01-15,,,,Open,
HL120658,C003,Google Ads,2025-01-21,2025-01-30,,,Lost,Health Decline
HL641510,C003,Walk-in,2025-01-14,2025-01-19,,,Lost,Other
HL925420,C004,Google Ads,2025-01-16,2025-01-19,,,Lost,Stayed Home
HL261020,C004,Google Ads,2025-01-06,,,,Open,
HL830522,C004,Referral,2025-01-20,2025-01-29,,,Lost,Affordability
HL773557,C004,Facebook,2025-01-11,,,,Open,
HL306230,C004,Google Ads,2025-01-07,2025-01-18,,,Lost,Stayed Home
HL290255,C004,Facebook,2025-01-23,2025-02-10,,,Lost,Affordability
HL140963,C004,Walk-in,2025-01-27,2025-02-17,2025-02-22,2025-03-01,Won,
HL840786,C004,Print,2025-01-25,2025-02-04,,,Lost,Affordability
HL554341,C004,Google Ads,2025-01-04,,,,Lost,Stayed Home
HL243130,C005,Facebook,2025-01-25,2025-01-28,2025-02-22,2025-03-06,Won,
HL787810,C005,Print,2025-01-24,,2025-02-19,2025-03-16,Won,
HL974348,C005,Facebook,2025-01-02,,,,Open,
HL890872,C005,Print,2025-01-08,,2025-02-15,2025-02-10,Won,
HL605810,C005,Walk-in,2025-01-18,2025-01-31,,,Lost,Health Decline
HL934836,C005,Web Inquiry,2025-01-02,2025-01-06,2025-02-06,2025-02-03,Won,
HL529278,C005,Print,2025-01-20,,,,Lost,Other
HL812959,C005,Web Inquiry,2025-01-09,2025-01-12,,,Lost,Health Decline
HL490307,C005,Google Ads,2025-01-25,,,,Lost,Affordability
HL646742,C006,Web Inquiry,2025-01-25,2025-02-01,,,Lost,Chose Competitor
HL516226,C006,Print,2025-01-05,2025-01-11,2025-01-21,2025-02-22,Won,
HL947975,C006,Walk-in,2025-01-28,2025-02-18,,,Lost,Other
HL526797,C006,Event,2025-01-25,2025-02-10,,,Lost,Other
HL839496,C006,Web Inquiry,2025-01-10,,,,Open,
