review_id,community_id,review_date,rating,review_text,response_text,responded_at
GR303172,C001,2025-03-24,5,Wonderful community,,
GR584996,C001,2025-03-04,3,Communication could be better,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-11
GR821649,C001,2025-03-27,4,Caring staff,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-04
GR684552,C001,2025-03-23,5,My mother loves it here,,
GR646351,C001,2025-03-07,5,Highly recommend,,
GR227875,C002,2025-03-17,1,Avoid this place,,
GR750775,C002,2025-03-12,5,Staff goes above and beyond,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-24
GR509426,C002,2025-03-15,3,Average,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-26
GR787284,C002,2025-03-24,3,Some good some bad,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-07
GR885301,C002,2025-03-25,4,Nice facility,,
GR400390,C002,2025-03-09,4,Nice facility,,
GR484702,C002,2025-03-14,3,Communication could be better,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-26
GR723223,C003,2025-03-16,5,Wonderful community,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-17
GR875479,C003,2025-03-18,5,Excellent care and staff,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-20
GR232038,C003,2025-03-06,4,Nice facility,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-15
GR859087,C003,2025-03-04,5,Wonderful community,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-15
GR285980,C003,2025-03-10,4,Caring staff,,
GR492181,C004,2025-03-08,4,Mostly happy,,
GR828076,C004,2025-03-25,5,My mother loves it here,,
GR428013,C004,2025-03-09,5,Best decision we made,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-17
GR702764,C004,2025-03-21,5,Staff goes above and beyond,,
GR468574,C004,2025-03-05,4,Caring staff,,
GR170592,C004,2025-03-17,4,Mostly happy,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-24
GR774869,C004,2025-03-25,4,Good experience overall,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-31
GR965415,C004,2025-03-22,3,Average,,
GR823649,C005,2025-03-11,4,Nice facility,,
GR393009,C005,2025-03-07,4,Nice facility,,
GR449023,C006,2025-03-22,5,Highly recommend,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-28
GR640169,C006,2025-03-24,5,Wonderful community,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-25
GR623978,C006,2025-03-10,5,Staff goes above and beyond,,
GR133282,C006,2025-03-23,4,Nice facility,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-01
GR833075,C007,2025-03-23,4,Nice facility,,
GR932842,C007,2025-03-14,4,Caring staff,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-24
GR205288,C008,2025-03-04,4,Nice facility,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-11
GR799122,C008,2025-03-16,5,My mother loves it here,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-27
GR154764,C008,2025-03-14,5,Highly recommend,,
GR713772,C008,2025-03-25,4,Good experience overall,,
GR211285,C008,2025-03-25,5,My mother loves it here,,
GR414951,C008,2025-03-04,2,Not what we expected,,
GR853164,C008,2025-03-05,4,Some minor issues but good,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-08
GR975056,C009,2025-03-26,4,Mostly happy,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-30
GR575779,C009,2025-03-02,5,Excellent care and staff,,
GR214695,C009,2025-03-21,4,Good experience overall,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-27
GR584940,C009,2025-03-12,4,Mostly happy,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-16
GR305308,C010,2025-03-13,5,Wonderful community,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-14
GR712401,C010,2025-03-14,4,Some minor issues but good,,
GR737892,C010,2025-03-24,5,My mother loves it here,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-03
GR386351,C010,2025-03-20,4,Caring staff,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-22
GR330986,C010,2025-03-20,4,Caring staff,,
GR776903,C010,2025-03-15,1,Neglectful,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-03-28
