lead_id,community_id,lead_source,created_date,tour_date,deposit_date,move_in_date,status,lost_reason
HL407212,C001,Google Ads,2025-06-25,2025-06-30,2025-07-19,2025-08-06,Won,
HL132053,C001,Print,2025-06-10,2025-06-15,2025-07-19,2025-08-08,Won,
HL141921,C001,Walk-in,2025-06-10,2025-06-14,,,Lost,Chose Competitor
HL314898,C001,Walk-in,2025-06-25,2025-07-12,2025-07-17,2025-08-01,Won,
HL502524,C001,Facebook,2025-06-07,2025-06-12,2025-07-05,2025-06-28,Won,
HL591142,C001,Print,2025-06-17,2025-07-01,,,Lost,Stayed Home
HL338229,C001,Walk-in,2025-06-07,,,,Open,
HL888150,C001,Google Ads,2025-06-16,2025-06-26,,,Lost,Health Decline
HL186636,C001,Walk-in,2025-06-07,,,,Lost,Other
HL412534,C001,Web Inquiry,2025-06-10,,,,Open,
HL945773,C001,Print,2025-06-12,,,,Open,
HL469571,C001,Walk-in,2025-06-20,,,,Lost,Health Decline
HL554100,C001,Web Inquiry,2025-06-13,,,,Lost,Affordability
HL197799,C002,Print,2025-06-22,2025-06-30,,,Lost,Other
HL995014,C002,Referral,2025-06-11,2025-06-29,,,Lost,Stayed Home
HL413528,C002,Print,2025-06-17,2025-06-29,2025-07-07,2025-07-21,Won,
HL860093,C002,Web Inquiry,2025-06-27,2025-07-13,,,Lost,Other
HL207514,C002,Event,2025-06-23,2025-07-06,2025-07-31,2025-07-21,Won,
HL651920,C002,Print,2025-06-06,2025-06-10,,,Lost,Other
HL616029,C002,Google Ads,2025-06-11,,,,Open,
HL722749,C002,Event,2025-06-07,,2025-07-05,2025-07-24,Won,
HL677388,C002,Referral,2025-06-17,2025-06-20,,,Lost,Stayed Home
HL184264,C002,Google Ads,2025-06-19,,2025-07-20,2025-07-26,Won,
HL275168,C002,Google Ads,2025-06-19,,,,Open,
HL784875,C002,Walk-in,2025-06-18,2025-07-03,2025-07-21,2025-07-19,Won,
HL150149,C002,Google Ads,2025-06-14,2025-06-25,,,Lost,Other
HL750621,C002,Referral,2025-06-11,,,,Open,
HL880146,C003,Facebook,2025-06-17,,,,Open,
HL934959,C003,Event,2025-06-07,2025-06-25,2025-06-29,2025-07-24,Won,
HL154512,C003,Facebook,2025-06-24,,,,Open,
HL177864,C003,Google Ads,2025-06-22,2025-07-07,,,Lost,Chose Competitor
HL243932,C003,Print,2025-06-26,2025-07-08,2025-07-10,2025-08-12,Won,
HL701565,C003,Facebook,2025-06-10,,,,Lost,Chose Competitor
HL271676,C003,Facebook,2025-06-20,2025-07-09,,,Lost,Stayed Home
HL484329,C003,Referral,2025-06-20,2025-07-05,,,Lost,Affordability
HL385264,C003,Event,2025-06-24,2025-07-12,2025-08-02,2025-07-27,Won,
HL863298,C003,Event,2025-06-18,,,,Open,
HL921279,C004,Walk-in,2025-06-05,2025-06-09,,,Lost,Other
HL415242,C004,Event,2025-06-22,2025-07-13,2025-07-25,2025-08-13,Won,
HL993180,C004,Event,2025-06-17,2025-06-23,,,Lost,Stayed Home
HL763370,C004,Referral,2025-06-22,,,,Lost,Health Decline
HL327799,C004,Event,2025-06-01,,,,Open,
HL641248,C004,Print,2025-06-01,,,,Open,
HL479418,C004,Referral,2025-06-14,2025-06-18,2025-07-18,2025-07-21,Won,
HL997686,C004,Web Inquiry,2025-06-12,2025-06-15,,,Lost,Health Decline
HL219435,C004,Referral,2025-06-20,2025-07-01,,,Lost,Chose Competitor
HL780929,C004,Referral,2025-06-06,,,,Lost,Chose Competitor
HL585486,C005,Google Ads,2025-06-20,,,,Open,
HL315728,C005,Google Ads,2025-06-24,,,,Lost,Chose Competitor
HL768387,C005,Print,2025-06-28,2025-07-01,2025-07-11,2025-07-21,Won,
HL527484,C005,Google Ads,2025-06-15,2025-06-20,,,Lost,Other
HL693350,C005,Web Inquiry,2025-06-22,2025-06-25,,,Lost,Health Decline
HL951215,C005,Event,2025-06-17,2025-06-26,,,Lost,Chose Competitor
HL583681,C005,Event,2025-06-24,2025-07-05,2025-08-01,2025-08-07,Won,
HL313389,C005,Walk-in,2025-06-28,2025-07-19,,,Lost,Chose Competitor
HL659268,C006,Google Ads,2025-06-16,2025-06-25,2025-07-18,2025-07-06,Won,
HL675991,C006,Web Inquiry,2025-06-04,2025-06-13,,,Lost,Health Decline
HL333170,C006,Web Inquiry,2025-06-02,,,,Lost,Affordability
HL220857,C006,Google Ads,2025-06-10,,,,Lost,Chose Competitor
HL466623,C006,Google Ads,2025-06-19,,,,Open,
HL667597,C006,Walk-in,2025-06-28,2025-07-19,2025-08-05,2025-08-01,Won,
HL952354,C006,Walk-in,2025-06-21,2025-07-05,,,Lost,Other
HL515895,C006,Google Ads,2025-06-06,,,,Open,
HL533087,C006,Google Ads,2025-06-03,2025-06-21,2025-06-15,2025-07-11,Won,
HL897706,C006,Google Ads,2025-06-23,2025-07-01,,,Lost,Affordability
HL243802,C006,Google Ads,2025-06-09,2025-06-14,,,Lost,Other
HL873452,C006,Referral,2025-06-19,,,,Open,
HL579631,C007,Walk-in,2025-06-26,2025-07-13,,,Lost,Affordability
HL404846,C007,Web Inquiry,2025-06-14,2025-07-01,2025-07-17,2025-08-08,Won,
HL342433,C007,Referral,2025-06-24,,,,Open,
HL735283,C007,Web Inquiry,2025-06-06,,,,Open,
HL681619,C007,Google Ads,2025-06-19,2025-06-26,,,Lost,Chose Competitor
HL816714,C007,Referral,2025-06-03,,,,Open,
HL879522,C008,Print,2025-06-20,2025-06-25,2025-07-05,2025-07-14,Won,
HL212320,C008,Web Inquiry,2025-06-04,2025-06-09,,,Lost,Chose Competitor
HL584707,C008,Event,2025-06-17,,,,Open,
HL767863,C008,Event,2025-06-22,,,,Lost,Health Decline
HL212507,C008,Web Inquiry,2025-06-19,,,,Open,
HL983988,C008,Google Ads,2025-06-09,,2025-07-18,2025-08-07,Won,
HL657565,C008,Print,2025-06-12,,,,Lost,Chose Competitor
HL257274,C008,Google Ads,2025-06-26,,,,Lost,Chose Competitor
HL724358,C008,Referral,2025-06-01,2025-06-19,,,Lost,Other
HL596068,C009,Walk-in,2025-06-21,,,,Lost,Other
HL263316,C009,Facebook,2025-06-01,,,,Lost,Affordability
HL617187,C009,Facebook,2025-06-14,2025-06-17,,,Lost,Chose Competitor
HL566732,C009,Web Inquiry,2025-06-23,,,,Lost,Affordability
HL691043,C009,Event,2025-06-02,2025-06-07,,,Lost,Health Decline
HL542518,C009,Google Ads,2025-06-23,2025-07-07,,,Lost,Other
HL656530,C009,Referral,2025-06-09,,2025-06-30,2025-07-05,Won,
HL780028,C009,Facebook,2025-06-27,,,,Open,
HL956877,C009,Google Ads,2025-06-01,,2025-06-18,2025-07-20,Won,
HL555135,C009,Facebook,2025-06-25,2025-07-02,2025-08-03,2025-08-22,Won,
HL357524,C009,Event,2025-06-12,2025-06-29,2025-06-24,2025-07-15,Won,
HL492877,C009,Print,2025-06-07,2025-06-16,,,Lost,Affordability
HL833315,C009,Event,2025-06-02,2025-06-11,,,Lost,Chose Competitor
HL726621,C009,Facebook,2025-06-27,2025-07-17,,,Lost,Chose Competitor
HL491795,C009,Facebook,2025-06-26,,,,Open,
