lease_id,resident_id,unit_id,community_id,move_in_date,move_out_date,move_out_reason,monthly_rate
L050097,R01097,U00110,C002,2024-10-05,2025-04-21,Higher Care Needed,5316
L050132,R01132,U00140,C003,2024-01-09,2025-04-10,Higher Care Needed,5089
L050159,R01159,U00208,C004,2023-05-09,2025-04-28,Other,4788
L050199,R01199,U00308,C005,2024-05-13,2025-04-26,Higher Care Needed,5311
L050219,R01219,U00375,C006,2024-06-17,2025-04-28,Dissatisfied,4955
L050553,R01553,U00835,C013,2023-12-09,2025-04-02,Dissatisfied,7166
L050646,R01646,U00196,C004,2025-01-26,2025-04-25,Higher Care Needed,4098
L050668,R01668,U00666,C011,2025-01-21,2025-04-07,Higher Care Needed,4810
L050687,R01687,U00231,C004,2025-02-12,2025-04-04,Hospital Transfer,5092
L050701,R01701,U00434,C007,2025-02-25,2025-04-13,Financial,6455
L050716,R01716,U00680,C011,2025-02-11,2025-04-03,Family Decision,6309
L050778,R01778,U00008,C001,2025-04-17,,,4621
L050779,R01779,U00007,C001,2025-04-28,,,4170
L050780,R01780,U00039,C001,2025-04-13,,,6364
L050781,R01781,U00029,C001,2025-04-04,,,6657
L050782,R01782,U00079,C002,2025-04-07,,,3937
L050783,R01783,U00071,C002,2025-04-04,,,3835
L050784,R01784,U00080,C002,2025-04-09,,,4182
L050785,R01785,U00134,C003,2025-04-15,,,4322
L050786,R01786,U00169,C003,2025-04-04,2025-06-28,Hospital Transfer,6474
L050787,R01787,U00135,C003,2025-04-27,,,4404
L050788,R01788,U00192,C003,2025-04-03,2025-05-07,Family Decision,6793
L050789,R01789,U00186,C003,2025-04-05,,,8614
L050790,R01790,U00217,C004,2025-04-15,2025-05-29,Financial,5385
L050791,R01791,U00230,C004,2025-04-25,2025-06-08,Family Decision,5378
L050792,R01792,U00227,C004,2025-04-11,,,6647
L050793,R01793,U00284,C005,2025-04-08,,,5442
L050794,R01794,U00297,C005,2025-04-27,,,5165
L050795,R01795,U00295,C005,2025-04-22,,,5504
L050796,R01796,U00302,C005,2025-04-11,,,5598
L050797,R01797,U00294,C005,2025-04-20,,,5093
L050798,R01798,U00379,C006,2025-04-07,,,7763
L050799,R01799,U00438,C007,2025-04-19,,,6077
L050800,R01800,U00430,C007,2025-04-19,,,6568
L050801,R01801,U00440,C007,2025-04-17,,,5490
L050802,R01802,U00450,C007,2025-04-18,2025-05-21,Other,7965
L050803,R01803,U00429,C007,2025-04-08,,,5234
L050804,R01804,U00495,C008,2025-04-13,,,6025
L050805,R01805,U00511,C008,2025-04-12,,,8784
L050806,R01806,U00469,C008,2025-04-05,,,4248
L050807,R01807,U00489,C008,2025-04-05,2025-05-11,Hospital Transfer,6212
L050808,R01808,U00551,C009,2025-04-06,,,4902
L050809,R01809,U00530,C009,2025-04-20,,,3768
L050810,R01810,U00575,C009,2025-04-14,,,8236
L050811,R01811,U00583,C009,2025-04-16,2025-06-20,Other,8688
L050812,R01812,U00569,C009,2025-04-15,2025-05-21,Financial,4938
L050813,R01813,U00609,C010,2025-04-10,2025-05-17,Financial,5011
L050814,R01814,U00635,C010,2025-04-15,,,6272
L050815,R01815,U00604,C010,2025-04-10,,,3804
L050816,R01816,U00630,C010,2025-04-24,2025-06-11,Family Decision,5455
L050817,R01817,U00649,C010,2025-04-10,,,7629
L050818,R01818,U00705,C011,2025-04-03,,,7908
L050819,R01819,U00665,C011,2025-04-24,,,4144
L050820,R01820,U00704,C011,2025-04-12,,,7350
L050821,R01821,U00699,C011,2025-04-02,2025-05-25,Deceased,5858
L050822,R01822,U00705,C011,2025-04-25,,,7333
L050823,R01823,U00752,C012,2025-04-02,2025-06-25,Other,6133
L050824,R01824,U00757,C012,2025-04-16,,,6390
L050825,R01825,U00741,C012,2025-04-28,,,5283
L050826,R01826,U00834,C013,2025-04-22,,,7933
L050827,R01827,U00819,C013,2025-04-09,2025-06-29,Financial,6271
L050828,R01828,U00814,C013,2025-04-15,,,6106
L050829,R01829,U00820,C013,2025-04-06,,,6603
L050830,R01830,U00787,C013,2025-04-14,2025-05-31,Dissatisfied,4525
L050831,R01831,U00892,C014,2025-04-01,,,6277
