lease_id,resident_id,unit_id,community_id,move_in_date,move_out_date,move_out_reason,monthly_rate
L050110,R01110,U00188,C003,2021-01-26,2025-05-03,Other,6597
L050224,R01224,U00326,C006,2023-04-23,2025-05-24,Dissatisfied,3963
L050384,R01384,U00548,C009,2024-06-26,2025-05-01,Family Decision,6429
L050413,R01413,U00609,C010,2024-08-22,2025-05-03,Hospital Transfer,4635
L050478,R01478,U00672,C011,2024-07-25,2025-05-20,Higher Care Needed,5375
L050670,R01670,U00751,C012,2025-01-07,2025-05-23,Hospital Transfer,6147
L050685,R01685,U00228,C004,2025-02-07,2025-05-16,Hospital Transfer,4935
L050686,R01686,U00257,C004,2025-02-28,2025-05-19,Other,8927
L050706,R01706,U00556,C009,2025-02-07,2025-05-09,Other,5361
L050721,R01721,U00733,C012,2025-02-11,2025-05-09,Dissatisfied,4687
L050751,R01751,U00377,C006,2025-03-20,2025-05-25,Higher Care Needed,8259
L050771,R01771,U00715,C011,2025-03-16,2025-05-11,Higher Care Needed,7853
L050775,R01775,U00744,C012,2025-03-19,2025-05-13,Higher Care Needed,5057
L050788,R01788,U00192,C003,2025-04-03,2025-05-07,Family Decision,6793
L050790,R01790,U00217,C004,2025-04-15,2025-05-29,Financial,5385
L050802,R01802,U00450,C007,2025-04-18,2025-05-21,Other,7965
L050807,R01807,U00489,C008,2025-04-05,2025-05-11,Hospital Transfer,6212
L050812,R01812,U00569,C009,2025-04-15,2025-05-21,Financial,4938
L050813,R01813,U00609,C010,2025-04-10,2025-05-17,Financial,5011
L050821,R01821,U00699,C011,2025-04-02,2025-05-25,Deceased,5858
L050830,R01830,U00787,C013,2025-04-14,2025-05-31,Dissatisfied,4525
L050832,R01832,U00061,C001,2025-05-03,,,7385
L050833,R01833,U00104,C002,2025-05-10,,,6474
L050834,R01834,U00117,C002,2025-05-23,,,8854
L050835,R01835,U00118,C002,2025-05-11,2025-06-26,Higher Care Needed,7269
L050836,R01836,U00195,C003,2025-05-16,,,9368
L050837,R01837,U00230,C004,2025-05-07,,,5502
L050838,R01838,U00197,C004,2025-05-02,,,3588
L050839,R01839,U00219,C004,2025-05-02,,,5733
L050840,R01840,U00197,C004,2025-05-19,,,3901
L050841,R01841,U00291,C005,2025-05-04,,,5488
L050842,R01842,U00309,C005,2025-05-02,,,5947
L050843,R01843,U00292,C005,2025-05-10,,,6079
L050844,R01844,U00290,C005,2025-05-10,,,6378
L050845,R01845,U00339,C006,2025-05-05,2025-06-08,Hospital Transfer,3731
L050846,R01846,U00341,C006,2025-05-13,,,5043
L050847,R01847,U00395,C007,2025-05-13,,,3439
L050848,R01848,U00506,C008,2025-05-08,,,7954
L050849,R01849,U00456,C008,2025-05-02,2025-06-11,Hospital Transfer,3862
L050850,R01850,U00510,C008,2025-05-10,,,8437
L050851,R01851,U00489,C008,2025-05-16,,,6270
L050852,R01852,U00512,C008,2025-05-11,2025-06-11,Family Decision,7097
L050853,R01853,U00540,C009,2025-05-25,,,4541
L050854,R01854,U00559,C009,2025-05-05,2025-06-24,Other,6314
L050855,R01855,U00586,C010,2025-05-05,2025-06-22,Dissatisfied,4359
L050856,R01856,U00662,C011,2025-05-01,2025-06-20,Family Decision,4628
L050857,R01857,U00719,C012,2025-05-23,,,3903
L050858,R01858,U00730,C012,2025-05-14,,,3804
L050859,R01859,U00763,C012,2025-05-03,,,5892
L050860,R01860,U00727,C012,2025-05-07,,,4960
L050861,R01861,U00800,C013,2025-05-09,,,4920
L050862,R01862,U00787,C013,2025-05-16,,,4274
L050863,R01863,U00905,C014,2025-05-26,,,6833
L050864,R01864,U00886,C014,2025-05-06,,,6333
L050865,R01865,U00892,C014,2025-05-11,,,6214
L050866,R01866,U00846,C014,2025-05-08,,,4738
L050867,R01867,U00902,C014,2025-05-02,,,7895
