review_id,community_id,review_date,rating,review_text,response_text,responded_at
GR681430,C001,2025-06-16,5,Excellent care and staff,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-06-23
GR893907,C001,2025-06-24,5,Best decision we made,,
GR430870,C001,2025-06-10,4,Caring staff,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-06-18
GR854401,C001,2025-06-28,4,Mostly happy,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-07-04
GR861196,C001,2025-06-02,5,Highly recommend,,
GR706662,C001,2025-06-24,3,Communication could be better,,
GR223621,C001,2025-06-21,5,Highly recommend,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-06-24
GR236212,C002,2025-06-01,5,Excellent care and staff,,
GR308992,C002,2025-06-11,5,Wonderful community,,
GR894733,C002,2025-06-04,2,Slow response times,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-06-05
GR402091,C002,2025-06-15,5,Staff goes above and beyond,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-06-26
GR709519,C002,2025-06-28,2,Disappointed,,
GR199520,C002,2025-06-22,4,Caring staff,,
GR890630,C002,2025-06-16,5,Excellent care and staff,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-06-22
GR256558,C003,2025-06-14,5,Excellent care and staff,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-06-17
GR561992,C003,2025-06-02,2,Slow response times,,
GR439607,C003,2025-06-25,3,Some good some bad,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-06-27
GR175365,C003,2025-06-18,4,Good experience overall,,
GR990685,C003,2025-06-02,5,Excellent care and staff,,
GR490673,C003,2025-06-03,4,Good experience overall,,
GR797935,C003,2025-06-01,1,Would not recommend,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-06-06
GR992851,C004,2025-06-20,5,Best decision we made,,
GR623410,C004,2025-06-19,5,Staff goes above and beyond,,
GR959758,C004,2025-06-06,4,Good experience overall,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-06-12
GR736531,C004,2025-06-06,5,Excellent care and staff,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-06-13
GR232752,C004,2025-06-02,5,Staff goes above and beyond,,
GR983124,C004,2025-06-03,2,Not what we expected,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-06-17
GR340574,C004,2025-06-16,5,Highly recommend,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-06-26
GR623835,C004,2025-06-21,1,Poor management,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-07-04
