lease_id,resident_id,unit_id,community_id,move_in_date,move_out_date,move_out_reason,monthly_rate
L050031,R01031,U00017,C001,2024-07-05,2025-03-28,Financial,4254
L050114,R01114,U00146,C003,2022-04-16,2025-03-06,Dissatisfied,4164
L050118,R01118,U00140,C003,2024-04-26,2025-03-18,Other,4770
L050212,R01212,U00264,C005,2024-01-08,2025-03-04,Dissatisfied,4582
L050245,R01245,U00339,C006,2021-08-01,2025-03-03,Financial,3850
L050270,R01270,U00397,C007,2023-03-24,2025-03-14,Hospital Transfer,4105
L050333,R01333,U00471,C008,2021-04-14,2025-03-20,Dissatisfied,4426
L050363,R01363,U00540,C009,2024-03-14,2025-03-19,Financial,4614
L050512,R01512,U00746,C012,2023-08-01,2025-03-23,Financial,5699
L050513,R01513,U00748,C012,2024-08-18,2025-03-06,Hospital Transfer,6404
L050596,R01596,U00871,C014,2021-08-05,2025-03-01,Financial,5840
L050650,R01650,U00298,C005,2025-01-28,2025-03-15,Other,5339
L050702,R01702,U00482,C008,2025-02-01,2025-03-17,Hospital Transfer,6526
L050726,R01726,U00833,C013,2025-02-08,2025-03-11,Deceased,7011
L050731,R01731,U00033,C001,2025-03-28,,,5888
L050732,R01732,U00063,C001,2025-03-14,,,7993
L050733,R01733,U00058,C001,2025-03-22,,,6844
L050734,R01734,U00062,C001,2025-03-14,2025-06-03,Financial,8213
L050735,R01735,U00018,C001,2025-03-24,,,4956
L050736,R01736,U00123,C002,2025-03-14,,,7936
L050737,R01737,U00083,C002,2025-03-05,,,3875
L050738,R01738,U00077,C002,2025-03-20,,,4082
L050739,R01739,U00177,C003,2025-03-23,,,6628
L050740,R01740,U00137,C003,2025-03-05,,,5119
L050741,R01741,U00191,C003,2025-03-22,,,7676
L050742,R01742,U00179,C003,2025-03-23,,,6086
L050743,R01743,U00222,C004,2025-03-13,,,4880
L050744,R01744,U00255,C004,2025-03-27,,,8619
L050745,R01745,U00256,C004,2025-03-21,2025-06-12,Hospital Transfer,6810
L050746,R01746,U00270,C005,2025-03-15,,,3668
L050747,R01747,U00281,C005,2025-03-03,2025-06-20,Dissatisfied,6004
L050748,R01748,U00304,C005,2025-03-13,,,6227
L050749,R01749,U00366,C006,2025-03-23,,,6025
L050750,R01750,U00351,C006,2025-03-04,,,6462
L050751,R01751,U00377,C006,2025-03-20,2025-05-25,Higher Care Needed,8259
L050752,R01752,U00443,C007,2025-03-19,,,7762
L050753,R01753,U00429,C007,2025-03-10,,,4961
L050754,R01754,U00446,C007,2025-03-05,,,7006
L050755,R01755,U00467,C008,2025-03-26,,,4859
L050756,R01756,U00501,C008,2025-03-15,,,5222
L050757,R01757,U00484,C008,2025-03-21,,,5113
L050758,R01758,U00494,C008,2025-03-21,,,5424
L050759,R01759,U00490,C008,2025-03-04,,,5510
L050760,R01760,U00556,C009,2025-03-24,,,5368
L050761,R01761,U00563,C009,2025-03-03,,,4902
L050762,R01762,U00571,C009,2025-03-23,,,7049
L050763,R01763,U00554,C009,2025-03-04,,,6449
L050764,R01764,U00643,C010,2025-03-20,,,7305
L050765,R01765,U00615,C010,2025-03-16,,,5724
L050766,R01766,U00603,C010,2025-03-23,,,5186
L050767,R01767,U00599,C010,2025-03-28,,,4679
L050768,R01768,U00683,C011,2025-03-26,,,5674
L050769,R01769,U00689,C011,2025-03-10,,,5750
L050770,R01770,U00689,C011,2025-03-11,,,5752
L050771,R01771,U00715,C011,2025-03-16,2025-05-11,Higher Care Needed,7853
L050772,R01772,U00684,C011,2025-03-21,,,5315
L050773,R01773,U00748,C012,2025-03-18,,,6353
L050774,R01774,U00772,C012,2025-03-03,,,8826
L050775,R01775,U00744,C012,2025-03-19,2025-05-13,Higher Care Needed,5057
L050776,R01776,U00801,C013,2025-03-09,2025-06-09,Family Decision,6658
L050777,R01777,U00877,C014,2025-03-12,2025-06-03,Dissatisfied,5980
L050909,R01240,U00330,C006,2025-03-15,,,3882
