lease_id,resident_id,unit_id,community_id,move_in_date,move_out_date,move_out_reason,monthly_rate
L050167,R01167,U00253,C004,2022-09-28,2025-06-01,Hospital Transfer,7882
L050565,R01565,U00807,C013,2021-05-16,2025-06-28,Deceased,5499
L050667,R01667,U00683,C011,2025-01-24,2025-06-21,Other,6070
L050727,R01727,U00829,C013,2025-02-15,2025-06-16,Family Decision,5487
L050734,R01734,U00062,C001,2025-03-14,2025-06-03,Financial,8213
L050745,R01745,U00256,C004,2025-03-21,2025-06-12,Hospital Transfer,6810
L050747,R01747,U00281,C005,2025-03-03,2025-06-20,Dissatisfied,6004
L050776,R01776,U00801,C013,2025-03-09,2025-06-09,Family Decision,6658
L050777,R01777,U00877,C014,2025-03-12,2025-06-03,Dissatisfied,5980
L050786,R01786,U00169,C003,2025-04-04,2025-06-28,Hospital Transfer,6474
L050791,R01791,U00230,C004,2025-04-25,2025-06-08,Family Decision,5378
L050811,R01811,U00583,C009,2025-04-16,2025-06-20,Other,8688
L050816,R01816,U00630,C010,2025-04-24,2025-06-11,Family Decision,5455
L050823,R01823,U00752,C012,2025-04-02,2025-06-25,Other,6133
L050827,R01827,U00819,C013,2025-04-09,2025-06-29,Financial,6271
L050835,R01835,U00118,C002,2025-05-11,2025-06-26,Higher Care Needed,7269
L050845,R01845,U00339,C006,2025-05-05,2025-06-08,Hospital Transfer,3731
L050849,R01849,U00456,C008,2025-05-02,2025-06-11,Hospital Transfer,3862
L050852,R01852,U00512,C008,2025-05-11,2025-06-11,Family Decision,7097
L050854,R01854,U00559,C009,2025-05-05,2025-06-24,Other,6314
L050855,R01855,U00586,C010,2025-05-05,2025-06-22,Dissatisfied,4359
L050856,R01856,U00662,C011,2025-05-01,2025-06-20,Family Decision,4628
L050868,R01868,U00050,C001,2025-06-13,,,5783
L050869,R01869,U00020,C001,2025-06-05,,,4605
L050870,R01870,U00068,C002,2025-06-14,,,4592
L050871,R01871,U00127,C002,2025-06-20,,,7177
L050872,R01872,U00124,C002,2025-06-28,,,8858
L050873,R01873,U00072,C002,2025-06-08,,,4250
L050874,R01874,U00173,C003,2025-06-01,,,6108
L050875,R01875,U00163,C003,2025-06-26,,,5280
L050876,R01876,U00158,C003,2025-06-18,,,6220
L050877,R01877,U00153,C003,2025-06-01,,,6260
L050878,R01878,U00180,C003,2025-06-15,,,5670
L050879,R01879,U00233,C004,2025-06-23,,,5607
L050880,R01880,U00197,C004,2025-06-17,,,3620
L050881,R01881,U00225,C004,2025-06-11,,,4787
L050882,R01882,U00202,C004,2025-06-02,,,4168
L050883,R01883,U00286,C005,2025-06-18,,,6173
L050884,R01884,U00387,C006,2025-06-24,,,6995
L050885,R01885,U00347,C006,2025-06-22,,,5085
L050886,R01886,U00352,C006,2025-06-16,,,5662
L050887,R01887,U00383,C006,2025-06-22,,,7778
L050888,R01888,U00443,C007,2025-06-13,,,7910
L050889,R01889,U00469,C008,2025-06-28,,,3787
L050890,R01890,U00496,C008,2025-06-16,,,4945
L050891,R01891,U00571,C009,2025-06-27,,,7214
L050892,R01892,U00548,C009,2025-06-16,,,6974
L050893,R01893,U00620,C010,2025-06-08,,,6728
L050894,R01894,U00599,C010,2025-06-12,,,4687
L050895,R01895,U00629,C010,2025-06-23,,,5882
L050896,R01896,U00663,C011,2025-06-19,,,4025
L050897,R01897,U00697,C011,2025-06-05,,,5885
L050898,R01898,U00701,C011,2025-06-13,,,8605
L050899,R01899,U00761,C012,2025-06-11,,,6036
L050900,R01900,U00746,C012,2025-06-26,,,5463
L050901,R01901,U00734,C012,2025-06-18,,,4129
L050902,R01902,U00728,C012,2025-06-12,,,4716
L050903,R01903,U00717,C012,2025-06-07,,,3711
L050904,R01904,U00829,C013,2025-06-16,,,5661
L050905,R01905,U00803,C013,2025-06-13,,,5598
L050906,R01906,U00861,C014,2025-06-03,,,4801
L050907,R01907,U00894,C014,2025-06-14,,,6099
L050908,R01908,U00848,C014,2025-06-05,,,4512
