lead_id,community_id,lead_source,created_date,tour_date,deposit_date,move_in_date,status,lost_reason
HL641710,C001,Walk-in,2025-02-28,,,,Open,
HL262984,C001,Print,2025-02-04,,,,Open,
HL975804,C001,Web Inquiry,2025-02-07,2025-02-18,2025-02-27,2025-03-16,Won,
HL574821,C001,Print,2025-02-20,,,,Open,
HL992732,C001,Web Inquiry,2025-02-17,2025-02-24,,,Lost,Affordability
HL473707,C001,Web Inquiry,2025-02-11,,,,Open,
HL197577,C001,Referral,2025-02-06,,,,Lost,Affordability
HL173673,C001,Google Ads,2025-02-09,,,,Open,
HL771742,C001,Google Ads,2025-02-09,,,,Open,
HL924442,C001,Print,2025-02-23,,2025-04-01,2025-04-06,Won,
HL985391,C001,Print,2025-02-26,2025-03-09,2025-04-05,2025-03-22,Won,
HL695931,C002,Google Ads,2025-02-24,2025-02-27,,,Lost,Stayed Home
HL250129,C002,Print,2025-02-14,,,,Open,
HL735847,C002,Google Ads,2025-02-22,,,,Open,
HL482117,C002,Web Inquiry,2025-02-09,2025-02-16,2025-03-17,2025-03-24,Won,
HL731631,C002,Event,2025-02-20,,,,Open,
HL916074,C003,Web Inquiry,2025-02-14,,,,Open,
HL913653,C003,Event,2025-02-25,2025-03-09,,,Lost,Stayed Home
HL629258,C003,Print,2025-02-13,,,,Open,
HL470656,C003,Walk-in,2025-02-12,2025-02-23,,,Lost,Other
HL944715,C003,Event,2025-02-26,2025-03-16,,,Lost,Stayed Home
HL564905,C003,Web Inquiry,2025-02-28,2025-03-19,,,Lost,Other
HL585015,C003,Walk-in,2025-02-13,2025-02-20,,,Lost,Other
HL477225,C003,Referral,2025-02-16,,,,Lost,Health Decline
HL474577,C003,Web Inquiry,2025-02-25,2025-03-13,,,Lost,Other
HL799777,C004,Google Ads,2025-02-12,2025-03-01,2025-03-15,2025-03-14,Won,
HL129266,C004,Google Ads,2025-02-03,2025-02-10,2025-02-15,2025-03-22,Won,
HL519020,C004,Web Inquiry,2025-02-26,,,,Open,
HL667811,C004,Referral,2025-02-13,,2025-02-23,2025-03-28,Won,
HL670670,C004,Web Inquiry,2025-02-12,,,,Lost,Affordability
HL961662,C004,Referral,2025-02-20,,2025-03-28,2025-03-18,Won,
