lead_id,community_id,lead_source,created_date,tour_date,deposit_date,move_in_date,status,lost_reason
HL906779,C001,Walk-in,2025-04-09,,2025-04-29,2025-06-04,Won,
HL396244,C001,Google Ads,2025-04-22,,,,Open,
HL109388,C001,Event,2025-04-28,,,,Open,
HL886215,C001,Web Inquiry,2025-04-04,2025-04-23,,,Lost,Other
HL915032,C001,Event,2025-04-14,,,,Open,
HL746008,C001,Walk-in,2025-04-05,,,,Open,
HL340151,C001,Event,2025-04-24,,,,Lost,Other
HL677738,C001,Facebook,2025-04-09,,,,Open,
HL417030,C001,Web Inquiry,2025-04-28,,,,Open,
HL927488,C002,Referral,2025-04-04,,,,Open,
HL548821,C002,Facebook,2025-04-23,2025-05-12,,,Lost,Stayed Home
HL519229,C002,Walk-in,2025-04-08,2025-04-14,,,Lost,Other
HL655906,C002,Referral,2025-04-24,2025-05-14,2025-05-26,2025-06-23,Won,
HL691277,C002,Event,2025-04-16,,,,Lost,Chose Competitor
HL882589,C002,Web Inquiry,2025-04-18,2025-04-30,,,Lost,Stayed Home
HL566099,C002,Referral,2025-04-24,,,,Open,
HL651872,C002,Facebook,2025-04-24,2025-05-01,2025-05-31,2025-05-22,Won,
HL470923,C002,Walk-in,2025-04-21,,,,Open,
HL761371,C002,Google Ads,2025-04-27,,,,Open,
HL998837,C002,Event,2025-04-04,,,,Open,
HL607300,C003,Web Inquiry,2025-04-19,2025-05-07,,,Lost,Affordability
HL138836,C003,Google Ads,2025-04-05,2025-04-12,,,Lost,Chose Competitor
HL280672,C003,Facebook,2025-04-17,,,,Lost,Stayed Home
HL979097,C003,Referral,2025-04-21,,,,Lost,Stayed Home
HL887511,C003,Web Inquiry,2025-04-10,2025-04-19,,,Lost,Chose Competitor
HL232956,C004,Event,2025-04-07,2025-04-11,,,Lost,Chose Competitor
HL463762,C004,Web Inquiry,2025-04-21,,,,Open,
HL984796,C004,Walk-in,2025-04-01,2025-04-17,,,Lost,Stayed Home
HL762034,C004,Print,2025-04-03,,2025-04-30,2025-05-24,Won,
HL640398,C004,Web Inquiry,2025-04-19,2025-04-30,,,Lost,Other
HL429133,C004,Walk-in,2025-04-23,,,,Open,
HL497451,C004,Facebook,2025-04-19,,,,Open,
HL301429,C004,Print,2025-04-12,2025-04-16,,,Lost,Other
HL697686,C004,Event,2025-04-04,,,,Lost,Affordability
HL637192,C004,Event,2025-04-01,2025-04-14,,,Lost,Affordability
HL104676,C004,Facebook,2025-04-23,,,,Open,
HL436235,C004,Walk-in,2025-04-05,2025-04-23,2025-04-15,2025-05-28,Won,
HL563364,C004,Walk-in,2025-04-13,2025-04-23,2025-05-17,2025-05-09,Won,
HL437545,C004,Web Inquiry,2025-04-06,,,,Open,
HL151177,C004,Facebook,2025-04-28,2025-05-10,2025-06-05,2025-06-04,Won,
HL669586,C005,Print,2025-04-06,2025-04-25,,,Lost,Affordability
HL603315,C005,Print,2025-04-22,2025-05-01,,,Lost,Stayed Home
HL115956,C005,Google Ads,2025-04-16,,2025-05-23,2025-05-31,Won,
HL389608,C005,Walk-in,2025-04-07,,,,Lost,Other
HL326559,C005,Print,2025-04-16,,,,Lost,Health Decline
HL196770,C005,Facebook,2025-04-16,,,,Open,
HL163570,C005,Facebook,2025-04-02,,,,Lost,Chose Competitor
HL218751,C005,Google Ads,2025-04-01,,,,Lost,Stayed Home
HL526796,C005,Facebook,2025-04-15,,,,Open,
HL726801,C005,Google Ads,2025-04-23,2025-05-05,2025-05-26,2025-06-05,Won,
HL843753,C005,Event,2025-04-09,,,,Open,
HL618387,C005,Facebook,2025-04-19,,,,Lost,Other
HL917097,C006,Referral,2025-04-03,,,,Open,
HL359510,C006,Walk-in,2025-04-02,2025-04-07,,,Lost,Health Decline
HL336437,C006,Walk-in,2025-04-01,,,,Lost,Other
HL226110,C006,Referral,2025-04-19,,,,Open,
HL449015,C006,Referral,2025-04-28,2025-05-18,,,Lost,Health Decline
HL942494,C006,Web Inquiry,2025-04-28,,,,Lost,Chose Competitor
HL112715,C006,Facebook,2025-04-27,2025-05-09,,,Lost,Health Decline
HL372312,C006,Walk-in,2025-04-23,,,,Open,
HL706459,C006,Referral,2025-04-12,2025-04-30,2025-05-18,2025-05-07,Won,
HL426573,C006,Google Ads,2025-04-02,2025-04-09,2025-04-16,2025-05-29,Won,
HL308196,C006,Event,2025-04-10,2025-04-28,,,Lost,Health Decline
HL775050,C006,Referral,2025-04-02,2025-04-05,,,Lost,Health Decline
HL743078,C007,Referral,2025-04-19,2025-05-07,,,Lost,Affordability
HL198607,C007,Print,2025-04-25,,,,Lost,Health Decline
HL495981,C007,Walk-in,2025-04-06,,,,Open,
HL607885,C007,Google Ads,2025-04-10,2025-04-22,,,Lost,Health Decline
HL539046,C007,Event,2025-04-25,,,,Open,
HL670021,C007,Facebook,2025-04-06,,2025-05-09,2025-05-16,Won,
HL278427,C007,Walk-in,2025-04-21,2025-04-30,,,Lost,Stayed Home
HL291975,C007,Google Ads,2025-04-23,2025-05-06,2025-05-11,2025-06-01,Won,
HL610488,C007,Walk-in,2025-04-14,,2025-04-27,2025-05-07,Won,
HL174185,C007,Event,2025-04-27,,2025-05-12,2025-05-19,Won,
HL122642,C007,Event,2025-04-09,,,,Lost,Stayed Home
HL156945,C008,Event,2025-04-16,,,,Lost,Health Decline
HL787243,C008,Google Ads,2025-04-13,2025-04-18,2025-05-23,2025-05-13,Won,
HL220184,C008,Facebook,2025-04-25,,,,Lost,Health Decline
HL412645,C008,Facebook,2025-04-13,,,,Open,
HL516134,C008,Google Ads,2025-04-24,,,,Lost,Affordability
HL438858,C008,Print,2025-04-19,2025-05-02,,,Lost,Affordability
HL678008,C008,Walk-in,2025-04-24,2025-04-27,2025-05-30,2025-05-18,Won,
HL776211,C008,Google Ads,2025-04-25,,,,Open,
HL354142,C008,Referral,2025-04-28,,,,Lost,Chose Competitor
HL448429,C008,Print,2025-04-06,,,,Open,
HL306893,C008,Walk-in,2025-04-01,,,,Lost,Other
HL272277,C009,Google Ads,2025-04-11,,,,Open,
HL745300,C009,Event,2025-04-02,,,,Open,
HL262562,C009,Referral,2025-04-27,2025-05-05,,,Lost,Health Decline
HL276556,C009,Google Ads,2025-04-17,,2025-05-10,2025-05-26,Won,
HL727171,C009,Referral,2025-04-22,,,,Lost,Chose Competitor
HL429147,C009,Google Ads,2025-04-10,2025-04-19,,,Lost,Health Decline
HL789676,C010,Referral,2025-04-26,,,,Open,
HL878436,C010,Facebook,2025-04-10,,,,Open,
HL861992,C010,Facebook,2025-04-15,2025-05-05,,,Lost,Chose Competitor
HL949413,C010,Referral,2025-04-04,2025-04-11,,,Lost,Chose Competitor
HL238260,C010,Print,2025-04-26,2025-05-15,2025-05-12,2025-05-21,Won,
HL482843,C011,Google Ads,2025-04-13,2025-04-30,,,Lost,Other
HL724195,C011,Web Inquiry,2025-04-15,2025-04-21,,,Lost,Stayed Home
HL355312,C011,Walk-in,2025-04-05,,,,Open,
HL523879,C011,Web Inquiry,2025-04-07,,2025-05-14,2025-05-02,Won,
HL868985,C011,Print,2025-04-28,2025-05-14,2025-06-06,2025-05-30,Won,
HL104150,C011,Google Ads,2025-04-17,,,,Open,
HL317023,C011,Event,2025-04-04,2025-04-11,2025-04-28,2025-04-29,Won,
HL638811,C011,Facebook,2025-04-25,,,,Open,
HL269880,C011,Walk-in,2025-04-19,2025-05-10,,,Lost,Health Decline
HL584940,C011,Walk-in,2025-04-26,2025-05-05,,,Lost,Health Decline
HL491122,C011,Google Ads,2025-04-02,2025-04-14,,,Lost,Other
HL181347,C011,Print,2025-04-18,2025-04-28,,,Lost,Health Decline
HL424830,C011,Walk-in,2025-04-04,,,,Open,
HL648961,C012,Walk-in,2025-04-12,,,,Open,
HL986381,C012,Facebook,2025-04-08,2025-04-11,,,Lost,Chose Competitor
HL176240,C012,Facebook,2025-04-04,2025-04-10,,,Lost,Other
HL363650,C012,Print,2025-04-08,2025-04-22,2025-05-08,2025-04-30,Won,
HL971948,C012,Walk-in,2025-04-19,,,,Lost,Chose Competitor
HL573356,C013,Referral,2025-04-20,,,,Open,
HL204890,C013,Print,2025-04-25,,,,Open,
HL286394,C013,Facebook,2025-04-25,,,,Open,
HL589085,C013,Walk-in,2025-04-01,,,,Open,
HL550749,C013,Walk-in,2025-04-01,2025-04-04,2025-04-22,2025-05-31,Won,
HL312754,C013,Print,2025-04-17,,,,Lost,Health Decline
HL560894,C013,Print,2025-04-15,2025-04-25,,,Lost,Other
HL263225,C013,Referral,2025-04-05,,2025-04-17,2025-04-25,Won,
HL332120,C014,Event,2025-04-21,2025-05-10,,,Lost,Affordability
HL542354,C014,Referral,2025-04-23,,,,Lost,Health Decline
HL825792,C014,Google Ads,2025-04-21,,,,Open,
HL649065,C014,Event,2025-04-19,2025-05-08,,,Lost,Stayed Home
HL549234,C014,Event,2025-04-06,2025-04-14,2025-05-15,2025-05-08,Won,
HL769287,C014,Referral,2025-04-21,,,,Lost,Other
HL849655,C014,Print,2025-04-20,2025-05-11,,,Lost,Stayed Home
HL505921,C014,Facebook,2025-04-02,,,,Open,
HL147635,C014,Walk-in,2025-04-06,,,,Lost,Chose Competitor
HL692166,C014,Walk-in,2025-04-23,2025-05-09,2025-05-10,2025-06-20,Won,
HL898187,C014,Walk-in,2025-04-23,2025-05-08,,,Lost,Stayed Home
HL975808,C014,Google Ads,2025-04-13,2025-05-03,,,Lost,Other
HL648001,C014,Event,2025-04-28,,,,Open,
HL124441,C014,Walk-in,2025-04-24,,,,Lost,Stayed Home
HL940037,C014,Print,2025-04-17,2025-04-21,2025-05-02,2025-05-28,Won,
