lease_id,resident_id,unit_id,community_id,move_in_date,move_out_date,move_out_reason,monthly_rate
L050044,R01044,U00030,C001,2022-12-20,2025-02-27,Financial,5432
L050174,R01174,U00206,C004,2024-06-13,2025-02-15,Higher Care Needed,3528
L050473,R01473,U00665,C011,2024-06-18,2025-02-08,Hospital Transfer,4044
L050676,R01676,U00023,C001,2025-02-24,,,6251
L050677,R01677,U00013,C001,2025-02-24,,,3728
L050678,R01678,U00033,C001,2025-02-07,,,5873
L050679,R01679,U00002,C001,2025-02-01,,,4576
L050680,R01680,U00111,C002,2025-02-02,,,5252
L050681,R01681,U00172,C003,2025-02-03,,,6612
L050682,R01682,U00158,C003,2025-02-12,,,6718
L050683,R01683,U00177,C003,2025-02-25,,,6460
L050684,R01684,U00172,C003,2025-02-12,,,6578
L050685,R01685,U00228,C004,2025-02-07,2025-05-16,Hospital Transfer,4935
L050686,R01686,U00257,C004,2025-02-28,2025-05-19,Other,8927
L050687,R01687,U00231,C004,2025-02-12,2025-04-04,Hospital Transfer,5092
L050688,R01688,U00226,C004,2025-02-25,,,5305
L050689,R01689,U00299,C005,2025-02-05,,,5453
L050690,R01690,U00306,C005,2025-02-04,,,5959
L050691,R01691,U00263,C005,2025-02-16,,,4501
L050692,R01692,U00283,C005,2025-02-17,,,5362
L050693,R01693,U00304,C005,2025-02-21,,,5909
L050694,R01694,U00348,C006,2025-02-18,,,5670
L050695,R01695,U00364,C006,2025-02-02,,,6878
L050696,R01696,U00356,C006,2025-02-04,,,5156
L050697,R01697,U00424,C007,2025-02-24,,,5861
L050698,R01698,U00411,C007,2025-02-22,,,6837
L050699,R01699,U00455,C007,2025-02-18,,,8055
L050700,R01700,U00413,C007,2025-02-28,,,5599
L050701,R01701,U00434,C007,2025-02-25,2025-04-13,Financial,6455
L050702,R01702,U00482,C008,2025-02-01,2025-03-17,Hospital Transfer,6526
L050703,R01703,U00513,C008,2025-02-10,,,8094
L050704,R01704,U00491,C008,2025-02-18,,,5533
L050705,R01705,U00461,C008,2025-02-19,,,4262
L050706,R01706,U00556,C009,2025-02-07,2025-05-09,Other,5361
L050707,R01707,U00573,C009,2025-02-19,,,6567
L050708,R01708,U00575,C009,2025-02-24,,,8145
L050709,R01709,U00577,C009,2025-02-14,,,7400
L050710,R01710,U00562,C009,2025-02-21,,,6190
L050711,R01711,U00608,C010,2025-02-17,,,6663
L050712,R01712,U00633,C010,2025-02-25,,,6149
L050713,R01713,U00621,C010,2025-02-16,,,5539
L050714,R01714,U00675,C011,2025-02-17,,,6407
L050715,R01715,U00673,C011,2025-02-07,,,5620
L050716,R01716,U00680,C011,2025-02-11,2025-04-03,Family Decision,6309
L050717,R01717,U00689,C011,2025-02-12,,,5541
L050718,R01718,U00778,C012,2025-02-27,,,7924
L050719,R01719,U00764,C012,2025-02-22,,,6075
L050720,R01720,U00772,C012,2025-02-20,,,9265
L050721,R01721,U00733,C012,2025-02-11,2025-05-09,Dissatisfied,4687
L050722,R01722,U00750,C012,2025-02-18,,,6668
L050723,R01723,U00782,C013,2025-02-02,,,3988
L050724,R01724,U00817,C013,2025-02-02,,,5149
L050725,R01725,U00834,C013,2025-02-12,,,7960
L050726,R01726,U00833,C013,2025-02-08,2025-03-11,Deceased,7011
L050727,R01727,U00829,C013,2025-02-15,2025-06-16,Family Decision,5487
L050728,R01728,U00868,C014,2025-02-16,,,6322
L050729,R01729,U00851,C014,2025-02-17,,,4175
L050730,R01730,U00903,C014,2025-02-18,,,9376
