review_id,community_id,review_date,rating,review_text,response_text,responded_at
GR131131,C001,2025-04-17,5,Best decision we made,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-19
GR693951,C001,2025-04-22,5,Highly recommend,,
GR312777,C002,2025-04-25,4,Nice facility,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-07
GR867519,C002,2025-04-05,5,Wonderful community,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-10
GR526414,C003,2025-04-07,2,Disappointed,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-13
GR121398,C003,2025-04-15,4,Some minor issues but good,,
GR305164,C003,2025-04-15,2,Slow response times,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-22
GR874559,C003,2025-04-13,5,Excellent care and staff,,
GR173901,C003,2025-04-12,5,Wonderful community,,
GR688419,C003,2025-04-02,1,Avoid this place,,
GR217266,C003,2025-04-21,5,Excellent care and staff,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-05
GR989405,C003,2025-04-08,5,Highly recommend,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-11
GR830095,C004,2025-04-03,5,Best decision we made,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-05
GR842989,C004,2025-04-28,5,Best decision we made,,
GR374370,C004,2025-04-02,5,Excellent care and staff,,
GR681783,C004,2025-04-15,3,Communication could be better,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-21
GR271703,C004,2025-04-23,2,Not what we expected,,
GR869674,C004,2025-04-08,4,Mostly happy,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-10
GR456351,C005,2025-04-02,5,Wonderful community,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-16
GR797782,C005,2025-04-26,5,Staff goes above and beyond,,
GR693529,C005,2025-04-27,2,Not what we expected,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-04
GR977491,C006,2025-04-11,5,Highly recommend,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-19
GR366097,C006,2025-04-19,3,Communication could be better,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-23
GR633687,C006,2025-04-04,5,Best decision we made,,
GR831543,C007,2025-04-27,2,Not what we expected,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-03
GR930126,C007,2025-04-20,4,Good experience overall,,
GR943577,C007,2025-04-04,5,Wonderful community,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-12
GR903538,C007,2025-04-08,5,Staff goes above and beyond,,
GR661999,C007,2025-04-14,3,Some good some bad,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-16
GR564816,C007,2025-04-16,5,Excellent care and staff,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-22
GR926196,C008,2025-04-24,2,Disappointed,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-07
GR114815,C008,2025-04-26,3,Average,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-07
GR609296,C009,2025-04-09,3,Some good some bad,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-11
GR392713,C009,2025-04-02,3,Some good some bad,,
GR448859,C010,2025-04-07,5,Staff goes above and beyond,,
GR977224,C010,2025-04-04,4,Some minor issues but good,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-05
GR411687,C010,2025-04-06,5,Best decision we made,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-18
GR657397,C010,2025-04-27,5,Staff goes above and beyond,,
GR677257,C010,2025-04-15,4,Mostly happy,,
GR522298,C010,2025-04-12,4,Good experience overall,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-21
GR577434,C011,2025-04-21,1,Poor management,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-26
GR315935,C011,2025-04-25,1,Neglectful,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-08
GR358322,C011,2025-04-04,4,Caring staff,,
GR623685,C011,2025-04-04,3,Mixed experience,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-14
GR994709,C012,2025-04-15,5,My mother loves it here,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-21
GR377380,C012,2025-04-17,5,My mother loves it here,,
GR630301,C012,2025-04-25,5,Wonderful community,,
GR320264,C012,2025-04-14,5,My mother loves it here,,
GR981178,C013,2025-04-04,4,Caring staff,,
GR441774,C013,2025-04-05,5,Staff goes above and beyond,,
GR526449,C013,2025-04-28,3,Mixed experience,,
GR439479,C013,2025-04-19,4,Mostly happy,,
GR157054,C013,2025-04-17,5,Staff goes above and beyond,,
GR602841,C014,2025-04-21,3,Some good some bad,,
GR545726,C014,2025-04-21,4,Caring staff,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-04-29
